Year;Gini;foreigner;foreigner_2;altersquotient;altersquotient_2;unempILO;HHp1;HHp1Child;sozialquote;sozialausgaben;uniondensity;mdp;sector1;sector2;sector3;gini.g;mdp.g
1930;;;;;;;8.44;5.42;;;;;;;;;
1931;;;;;;;;;;;;;;;;;
1932;;;;;;;;;;;;;;;;;
1933;;;;;;;;;;;;;;;;;
1934;;;;;;;;;;;;;;;;;
1935;;;;;;;;;;;;;;;;;
1936;;;;;;;;;;;;;;;;;
1937;;;;;;;;;;;;;;;;;
1938;;;;;;;;;;;;;;;;;
1939;;;;;;;;;;;;;;;;;
1940;;;;;;;;;;;;;;;;;
1941;;;;;;;;;;;;;;;;;
1942;;;;;;;;;;;;;;;;;
1943;;;;;;;;;;;;;;;;;
1944;;;;;;;;;;;;;;;;;
1945;;;;;;;;;;;;;;;;;
1946;;;;;;;;;;;;;;;;;
1947;;;;;;;;;;;;;;;;;
1948;;;;;;;;;;;;;;;;;
1949;;;;;;;;;;;;;;;;;
1950;30.92;6.05;;;16.05;;;;7.63;1497.73;;9064;;;;;
1951;31.66;;;;;;;;7.43;1506.28;;9684;;;;0.02;0.07
1952;31.66;;;;;;;;7.53;1552.15;;9630;;;;0.02;-0.01
1953;32.57;;;;;;;;7.66;1644.99;;9840;;;;0.03;0.02
1954;32.57;;;;;;;;7.86;1756.54;;10287;;;;0.03;0.05
1955;33.73;;;;;;;;7.7;1813.28;;10867;;;;0.04;0.06
1956;33.73;;;;;;;;8.21;2021.27;;11439;;;;0.04;0.05
1957;33.27;;;;;;;;8.85;2244.5;;11705;;;;-0.01;0.02
1958;33.27;;;;;;;;9.33;2358.3;;11297;;;;-0.01;-0.03
1959;34.33;;;;;;;;9.51;2537.01;;11870;;;;0.03;0.05
1960;34.33;10.77;16.39;17.74;17.79;;14.08;4.1;9.45;2700.28;27.11;12457;14.48;46.47;39.05;0.03;0.05
1961;35.52;;19.22;17.92;17.92;;;;9.67;2971.34;26.52;13099;13.39;47.77;38.84;0.03;0.05
1962;35.52;;21.71;17.98;17.98;;;;9.66;3083.74;26.11;13354;12.42;48.63;38.94;0.03;0.02
1963;35.82;;23.26;18.03;18.03;;;;9.64;3210.27;26.02;13710;11.55;48.84;39.61;0.01;0.03
1964;35.82;;24.02;18.3;18.3;;;;10.4;3668.47;25.89;14191;10.9;48.81;40.29;0.01;0.04
1965;35.56;;23.58;18.57;18.57;;;;10.62;3846.78;26.23;14504;10.46;48.39;41.15;-0.01;0.02
1966;35.56;;23.29;18.85;18.85;;;;11.09;3944.13;26.26;14727;10.16;47.85;41.98;-0.01;0.02
1967;35.64;;23.56;19.12;19.12;;;;11.11;4163.73;26.16;15010;10;47.24;42.75;0;0.02
1968;35.64;;24.02;19.27;19.27;;;;11.02;4255.06;25.95;15374;9.4;46.88;43.72;0;0.02
1969;34.79;;24.63;19.48;19.48;;;;11.67;4712.82;25.48;16031;8.91;46.59;44.51;-0.02;0.04
1970;34.79;17.23;25.03;19.95;19.95;;19.54;3.95;11.44;4947.01;25.3;16904;8.54;46.16;45.3;-0.02;0.05
1971;35.9;;25.28;20.34;20.34;;;;11.57;5298.04;25.02;17381;8.2;45.99;45.8;0.03;0.03
1972;35.9;;25.59;20.68;20.68;;;;11.78;5681.98;25.04;17774;7.85;45.56;46.58;0.03;0.02
1973;34.98;;25.49;21.1;21.1;;;;13.6;6679.72;25.18;18204;7.55;45.01;47.42;-0.03;0.02
1974;34.98;;24.74;21.5;21.5;;;;14.24;6878.28;25.62;18414;7.44;44.51;48.07;-0.03;0.01
1975;34.17;;23.19;22.13;22.13;;;;16.56;7490.58;28.53;17224;7.55;40.47;51.97;-0.02;-0.06
1976;34.17;;21.18;22.65;22.65;;;;17.48;7918.1;29.98;17170;7.7;39.25;53.04;-0.02;0
1977;34.24;;20.38;23.13;23.13;;;;17.84;8202.48;29.59;17635;7.5;38.88;53.6;0;0.03
1978;34.24;;20.35;23.45;23.45;;;;17.75;8391.09;29.05;17662;7.27;38.56;54.17;0;0
1979;34.67;;20.46;23.71;23.71;;;;17.96;8538.88;28.57;18050;7.11;38.16;54.72;0.01;0.02
1980;34.67;14.84;20.67;23.68;23.68;;28.88;4.42;17.92;8760.11;27.59;18779;6.88;38.12;55;0.01;0.04
1981;35.1;;21.18;23.54;23.54;;;;17.75;8704.16;27.04;18956;6.56;37.86;55.58;0.01;0.01
1982;35.1;;21.49;23.35;23.35;;;;18.5;8970.12;27.2;18560;6.45;36.92;56.63;0.01;-0.02
1983;35.33;;21;23.19;23.19;;;;18.76;9096.65;27.01;18560;6.38;36.01;57.61;0.01;0
1984;35.33;;21.01;23.1;23.1;;;;19.22;9635.67;26.56;19038;6.19;35.71;58.1;0.01;0.03
1985;35.26;;21.06;23.24;23.24;;;;19.25;9851.05;25.76;19586;6.04;35.58;58.38;0;0.03
1986;35.26;;21.58;23.37;23.37;;;;19.49;10334.18;25.04;19786;5.67;35.28;59.06;0;0.01
1987;34.81;;22.29;23.45;23.45;;;;19.69;10610.13;24.57;19792;5.32;34.4;60.29;-0.01;0
1988;34.81;;22.93;23.5;23.5;;;;20.62;11492.86;24;20243;4.91;33.57;61.51;-0.01;0.02
1989;35.07;;23.81;23.54;23.54;;;;19.38;11200.94;23.46;20935;4.54;32.98;62.46;0.01;0.03
1990;35.07;18.12;25.06;23.48;23.48;;32.18;4.59;19.59;11639.77;22.94;21487;4.25;32.18;63.57;0.01;0.03
1991;34.14;;25.42;23.41;23.41;1.8;;;21.09;12192;21.18;21040;4.01;29.78;66.21;-0.03;-0.02
1992;34.14;;25.48;23.46;23.46;2.8;;;23.13;13002.52;21.31;20804;3.96;28.55;67.49;-0.03;-0.01
1993;33.6;;25.02;23.54;23.54;3.8;;;24.76;13650.34;21.56;20591;4.27;27.45;68.28;-0.02;-0.01
1994;33.6;;24.37;23.69;23.69;3.9;;;24.93;13863.85;21.6;20685;4.18;27.51;68.31;-0.02;0
1995;;20.43;24.85;23.89;23.91;3.4;;;25.64;14072.76;21.11;20660;4.09;28.1;67.81;;0
1996;;20.5;24.42;24.13;24.11;3.7;;;26.47;14493.44;20.61;20689;4.39;27.25;68.36;;0
1997;;20.57;23.85;24.39;24.31;4.2;;;27.34;15148.23;20.12;21072;4.4;25.92;69.68;;0.02
1998;;20.71;23.91;24.62;24.51;3.6;;;27.39;15560.14;19.43;21603;4.36;25.38;70.27;;0.03
1999;;21.07;23.46;24.83;24.88;3.1;;;27.35;15625.16;18.98;21828;4.47;25.13;70.4;;0.01
2000;;20.9;23.59;25.04;25.04;2.7;35.23;4.73;27.01;15821.8;15.96;22521;4.21;25.33;70.46;;0.03
2001;;21.04;24.81;25.24;25.24;2.5;;;27.69;16261.62;15.66;22692;3.85;25.2;70.95;;0.01
2002;;21.42;24.82;25.23;25.2;3;;;28.54;16660.95;18.5;22622;3.84;24.68;71.48;;0
2003;34.52;21.68;24.73;25.34;25.32;4.1;;;29.18;16952.25;18.65;22516;3.83;23.72;72.45;;0
2004;34.68;21.77;24.82;25.52;25.52;4.4;;;29.32;17310.35;18.51;22960;3.6;23.37;73.03;;0.02
2005;35.22;21.86;25.07;25.74;25.74;4.5;;;29.26;17425.36;18.24;23481;3.58;23.44;72.98;0.02;0.02
2006;35.38;21.95;25.4;26.1;26.1;4.1;;;27.98;17325.56;17.82;24262;3.51;23.63;72.86;0.02;0.03
2007;35.88;22.14;25.94;26.4;26.4;3.7;;;27.34;17667.79;17.36;25025;3.55;23.75;72.7;0.01;0.03
2008;35.86;22.62;26.42;26.65;26.65;3.4;;;;;16.59;25293;3.55;23.36;73.09;0.01;0.01
2009;35.38;22.89;27.16;27.03;27.03;4.1;;;;;16.49;24538;3.32;22.92;73.76;-0.01;-0.03
2010;35.61;;27.26;;27.17;4.2;36.47;5.56;;;16.29;25033;3.34;23.25;73.41;0.01;0.02
