Year;Gini;foreigner;foreigner_2;foreigner_3;altersquotient;altersquotient_2;altersquotient_3;unempILO;HHp1;HHp1Child;sozialquote;sozialausgaben;uniondensity;mdp;sector1;sector2;sector3;gini.g;mdp.g
1930,00;;;;;;;11,40;;8,44;5,42;;;;;;;;;
1931,00;;;;;;;11,50;;;;;;;;;;;;
1932,00;;;;;;;11,59;;;;;;;;;;;;
1933,00;;;;;;;11,77;;;;;;;;;;;;
1934,00;;;;;;;11,97;;;;;;;;;;;;
1935,00;;;;;;;12,18;;;;;;;;;;;;
1936,00;;;;;;;12,47;;;;;;;;;;;;
1937,00;;;;;;;12,83;;;;;;;;;;;;
1938,00;;;;;;;13,10;;;;;;;;;;;;
1939,00;;;;;;;13,35;;;;;;;;;;;;
1940,00;;;;;;;13,55;;;;;;;;;;;;
1941,00;;;;;;;14,02;;;;;;;;;;;;
1942,00;;;;;;;14,41;;;;;;;;;;;;
1943,00;;;;;;;14,69;;;;;;;;;;;;
1944,00;;;;;;;14,80;;;;;;;;;;;;
1945,00;;;;;;;14,92;;;;;;;;;;;;
1946,00;;;;;;;15,16;;;;;;;;;;;;
1947,00;;;;;;;15,37;;;;;;;;;;;;
1948,00;;;;;;;15,58;;;;;;;;;;;;
1949,00;;;;;;;15,75;;;;;;;;;;;;
1950,00;30,92;6,05;;6,43;;16,05;15,97;;;;7,63;1497,73;;9063,70;;;;;
1951,00;31,66;;;6,89;;;16,06;;;;7,43;1506,28;;9684,14;;;;0,02;0,07
1952,00;31,66;;;7,33;;;16,20;;;;7,53;1552,15;;9630,11;;;;0,02;-0,01
1953,00;32,57;;;7,77;;;16,32;;;;7,66;1644,99;;9840,30;;;;0,03;0,02
1954,00;32,57;;;8,20;;;16,45;;;;7,86;1756,54;;10287,08;;;;0,03;0,05
1955,00;33,73;;;8,63;;;16,53;;;;7,70;1813,28;;10866,87;;;;0,04;0,06
1956,00;33,73;;;9,04;;;16,70;;;;8,21;2021,27;;11439,05;;;;0,04;0,05
1957,00;33,27;;;9,44;;;16,91;;;;8,85;2244,50;;11705,42;;;;-0,01;0,02
1958,00;33,27;;;9,84;;;17,20;;;;9,33;2358,30;;11296,79;;;;-0,01;-0,03
1959,00;34,33;;;10,22;;;17,48;;;;9,51;2537,01;;11870,13;;;;0,03;0,05
1960,00;34,33;10,77;16,39;10,61;17,74;17,79;17,74;;14,08;4,10;9,45;2700,28;27,11;12456,73;14,48;46,47;39,05;0,03;0,05
1961,00;35,52;;19,22;12,65;17,92;17,92;17,92;;;;9,67;2971,34;26,52;13098,69;13,39;47,77;38,84;0,03;0,05
1962,00;35,52;;21,71;14,38;17,98;17,98;17,98;;;;9,66;3083,74;26,11;13353,51;12,42;48,63;38,94;0,03;0,02
1963,00;35,82;;23,26;15,69;18,03;18,03;18,03;;;;9,64;3210,27;26,02;13710,49;11,55;48,84;39,61;0,01;0,03
1964,00;35,82;;24,02;16,33;18,30;18,30;18,30;;;;10,40;3668,47;25,89;14190,76;10,90;48,81;40,29;0,01;0,04
1965,00;35,56;;23,58;16,59;18,57;18,57;18,57;;;;10,62;3846,78;26,23;14503,62;10,46;48,39;41,15;-0,01;0,02
1966,00;35,56;;23,29;17,16;18,85;18,85;18,85;;;;11,09;3944,13;26,26;14727,32;10,16;47,85;41,98;-0,01;0,02
1967,00;35,64;;23,56;17,98;19,12;19,12;19,12;;;;11,11;4163,73;26,16;15010,39;10,00;47,24;42,75;0,00;0,02
1968,00;35,64;;24,02;18,74;19,27;19,27;19,27;;;;11,02;4255,06;25,95;15373,78;9,40;46,88;43,72;0,00;0,02
1969,00;34,79;;24,63;19,41;19,48;19,48;19,48;;;;11,67;4712,82;25,48;16030,91;8,91;46,59;44,51;-0,02;0,04
1970,00;34,79;17,23;25,03;19,30;19,95;19,95;19,95;;19,54;3,95;11,44;4947,01;25,30;16903,62;8,54;46,16;45,30;-0,02;0,05
